aktørid,politician,party
16728,Kirsten Normann Andersen,Socialistisk Folkeparti
16757,Danny K. Malkowski,Liberal Alliance
9780,Tórbjørn Jacobsen,Tjóðveldi
16952,Helle Osther,Enhedslisten
17141,Brigitte Klintskov Jerkel,Det Konservative Folkeparti
17140,Orla Østerby,Uden for folketingsgrupperne
17247,Klaus Markussen,Venstre
17267,Kristian Hegaard,Radikale Venstre
17360,Merete Scheelsbeck,Det Konservative Folkeparti
17543,Marianne Bredal,Venstre
17629,Mads Fuglede,Danmarksdemokraterne
17628,Carl Valentin,Socialistisk Folkeparti
17752,Anders Stjernholm,Alternativet
17736,Per Nørhave,Dansk Folkeparti
17827,Tina Boel,Socialistisk Folkeparti
17963,Øjvind Vilsholm,Enhedslisten
9976,Jette Gottlieb,Enhedslisten
17988,Bjarni Hammer,Javnaðarflokkurin
18278,Serdal Benli,Socialistisk Folkeparti
18265,Carsten Kissmeyer,Venstre
18291,Erik Lund,Det Konservative Folkeparti
18415,Julius Graakjær Grantzau,Alternativet
18545,Henrik Old,Javnaðarflokkurin
18614,Rigmor Dam,Javnaðarflokkurin
17990,Tommy Ahlers,Venstre
18698,Marlene Ambo-Rasmussen,Venstre
18700,Heidi Bank,Venstre
18711,Birgitte Bergman,Det Konservative Folkeparti
18706,Anne Valentina Berthelsen,Socialistisk Folkeparti
18701,Marie Bjerre,Venstre
18717,Bjørn Brandenborg,Socialdemokratiet
18728,Anne Sophie Callesen,Radikale Venstre
18707,Astrid Carøe,Socialistisk Folkeparti
18722,Peter Seier Christensen,Uden for folketingsgrupperne
18696,Morten Dahlin,Venstre
18720,Camilla Fabricius,Socialdemokratiet
18712,Niels Flemming Hansen,Det Konservative Folkeparti
18688,Aki-Matilda Høegh-Dam,Naleraq
18713,Mona Juul,Det Konservative Folkeparti
18714,Kasper Sand Kjær,Socialdemokratiet
18718,Anders Kronborg,Socialdemokratiet
11702,Per Larsen,Det Konservative Folkeparti
18726,Stinus Lindgreen,Radikale Venstre
18724,Lars Boje Mathiesen,Borgernes Parti
18699,Christoffer Aagaard Melson,Venstre
18709,Signe Munk,Socialistisk Folkeparti
18708,Charlotte Broman Mølbæk,Socialistisk Folkeparti
18715,Henrik Møller,Socialdemokratiet
18725,Samira Nawa,Radikale Venstre
18704,Halime Oguz,Socialistisk Folkeparti
18727,Kathrine Olldag,Radikale Venstre
18729,Katrine Robsøe,Radikale Venstre
18691,Sikandar Siddique,Frie Grønne
18716,Rasmus Stoklund,Socialdemokratiet
18705,Ina Strøjer-Schmidt,Socialistisk Folkeparti
18721,Mette Thiesen,Dansk Folkeparti
18695,Kim Valentin,Venstre
18703,Alex Vanopslagh,Liberal Alliance
18694,Victoria Velasquez,Enhedslisten
18723,Pernille Vermund,Liberal Alliance
